club,sm_division,n_to_score
City of Southend On Sea AC,1,6
Orion Harriers,1,6
Colchester Harriers AC,1,6
Brentwood Beagles Athletics Club,2,6
Braintree & District AC,2,6
Havering Athletic Club,1,6
Basildon AC,2,6
Benfleet RC,1,6
Chelmsford AC,1,6
Witham RC,2,6
Leigh-on-Sea Striders,1,6
Ilford AC,1,6
Thurrock Harriers,1,6
Springfield Striders RC,1,6
Pitsea RC,2,6
Colchester & Tendring AC,2,6
Brentwood Running Club,3,4
East Essex Triathlon Club,3,4
South Woodham Runners,2,6
Billericay Striders,1,6
Loughton AC,2,6
Grange Farm & Dunmow Runners,1,6
Dengie 100 Runners,3,4
Castle Point Joggers,3,4
Mid Essex Casuals,2,6
Tiptree Road Runners,2,6
Phoenix Striders,2,6
Halstead RRC,3,4
Harlow Running and Tri Club,3,4
Daws Heath Harriers,3,4
Dagenham 88 Runners,2,6
Hockley Trail Runners,3,4
